,Company_Brand,Sector,Stage,Amount($),City,HeadQuarter,What_it_does,Year,Founded,Founders,Investor
679,Prescinto,Energy,Seed,3000000.0,Ahmedabad,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2020,2016.0,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts"
680,Toppeq,Energy,Seed,3000000.0,Mumbai,Mumbai,SaaS-based equity management platform,2020,2019.0,Nandini Sankar,Undisclosed
681,Bolo Indya,Energy,Unknown,400000.0,Gurgaon,Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services. Tanmai Paul, Varun Saxena",2020,2019.0,"India Accelerator, Sunil Kamath",Undisclosed
682,Bombay Play,Energy,Seed,1000000.0,Bangalore,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,2020,2017.0,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India"
683,FreshToHome,Education,Unknown,3000000.0,Bangalore,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood. Shan Kadavil,2020,2015.0,Investment Corporation of Dubai (ICD),Undisclosed
684,KIKO TV,Energy,Seed,3000000.0,Mumbai,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,2020,2020.0,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi"
685,Atomberg Technologies,Energy,Series B,9000000.0,Mumbai,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020,2012.0,"Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners"
686,DealShare,Education,Series C,21000000.0,Jaipur,Jaipur,DealShare is a Social Commerce Startup,2020,2018.0,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network"
687,Smallcase,Finance,Unknown,3000000.0,Bangalore,Bangalore,"Changing how India invests in equities Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath",2020,2015.0,"WEH Ventures, BEENEXT",Undisclosed
688,CueMath,Education,Series C,40000000.0,Bangalore,Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2020,2011.0,Manan Khurma,"Sequoia Capital India, CapitalG"
689,Gamerji,Energy,Seed,3000000.0,Ahmedabad,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2020,2018.0,"Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.
